Book Row,Book Name,Book URL,Book Type,Book Price,Book UPC,Book Availability,Books Available,Book Reviews,Book Rating
21,A Study in Scarlet (Sherlock Holmes #1),https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,mystery,16.73,63ee5bc46066a8a8,In stock,14,0,2
22,Poisonous (Max Revere Novels #3),https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,mystery,26.80,abdd91e96515a617,In stock,12,0,3
23,Murder at the 42nd Street Library (Raymond Ambler #1),https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,mystery,54.36,e7fe3bf2768602cf,In stock,12,0,4
24,Most Wanted,https://books.toscrape.com/catalogue/most-wanted_623/index.html,mystery,35.28,c039f5aceb093537,In stock,12,0,3
25,Hide Away (Eve Duncan #20),https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,mystery,11.84,bddc6fd036eb6279,In stock,12,0,1
26,Boar Island (Anna Pigeon #19),https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,mystery,59.48,49b24c6a41b82bd2,In stock,12,0,3
27,The Widow,https://books.toscrape.com/catalogue/the-widow_609/index.html,mystery,27.26,6159d8b187831770,In stock,11,0,2
28,Playing with Fire,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,mystery,13.71,05a61a3bd8ca4149,In stock,11,0,3
29,What Happened on Beale Street (Secrets of the South Mysteries #2),https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,mystery,25.37,9735c969c652dd89,In stock,7,0,5
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,mystery,52.30,20789fb17b423c4c,In stock,7,0,5
31,Delivering the Truth (Quaker Midwife Mystery #1),https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,mystery,20.89,4e980425468708da,In stock,7,0,4
32,The Mysterious Affair at Styles (Hercule Poirot #1),https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,mystery,24.80,2da5edf8b5776c9a,In stock,6,0,4
33,In the Woods (Dublin Murder Squad #1),https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,mystery,38.38,6958de044cb28a84,In stock,6,0,2
34,The Silkworm (Cormoran Strike #2),https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,mystery,23.05,f06039c29b5891fa,In stock,3,0,5
35,The Exiled,https://books.toscrape.com/catalogue/the-exiled_247/index.html,mystery,43.45,dd003e904727281a,In stock,3,0,3
36,The Cuckoo's Calling (Cormoran Strike #1),https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,mystery,19.21,1be6d3b121865edb,In stock,3,0,1
37,Extreme Prey (Lucas Davenport #26),https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,mystery,25.40,588ba85ff11a3263,In stock,3,0,3
38,Career of Evil (Cormoran Strike #3),https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,mystery,24.72,b461cf238506c5b8,In stock,3,0,2
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,mystery,57.70,b0913e67d38d5ed5,In stock,1,0,4
40,The Girl You Lost,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,mystery,12.29,4280ac3eab57aa5d,In stock,1,0,5
41,The Girl In The Ice (DCI Erika Foster #1),https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,mystery,15.85,ee61197edb882599,In stock,1,0,3
42,Blood Defense (Samantha Brinkman #1),https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,mystery,20.30,95cdfd514098c38b,In stock,1,0,3
43,1st to Die (Women's Murder Club #1),https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,mystery,53.98,f684a82adc49f011,In stock,1,0,1
44,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,historical fiction,53.74,90fa61229261140a,In stock,20,0,1
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,historical fiction,29.69,9beb96a2300109d7,In stock,16,0,3
46,A Flight of Arrows (The Pathfinders #2),https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,historical fiction,55.53,3a6fb983e2554023,In stock,16,0,5
47,The House by the Lake,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,historical fiction,36.95,9287e238d7c3b06e,In stock,15,0,1
48,Mrs. Houdini,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,historical fiction,30.25,a40723994f715420,In stock,15,0,5
49,The Marriage of Opposites,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,historical fiction,28.08,52cf2a5933ec5d8f,In stock,14,0,4
50,Glory over Everything: Beyond The Kitchen House,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,historical fiction,45.84,de4b403cb629a29f,In stock,14,0,3
51,"Love, Lies and Spies",https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,historical fiction,20.55,9546d537fbf99eb6,In stock,12,0,2
52,A Paris Apartment,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,historical fiction,39.01,63343e287971bb0c,In stock,12,0,4
53,Lilac Girls,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,historical fiction,17.28,bade9943ee01b63f,In stock,11,0,2
54,The Constant Princess (The Tudor Court #1),https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,historical fiction,16.62,24933c712f0bca2f,In stock,7,0,3
55,The Invention of Wings,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,historical fiction,37.34,e6635f5b0a2c78db,In stock,6,0,1
56,World Without End (The Pillars of the Earth #2),https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,historical fiction,32.97,2e5b4ff08a75fd02,In stock,5,0,4
57,The Passion of Dolssa,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,historical fiction,28.32,011674f4a3834b8d,In stock,4,0,5
58,Girl With a Pearl Earring,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,historical fiction,26.77,5eff05e59f905a49,In stock,4,0,1
59,Voyager (Outlander #3),https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,historical fiction,21.07,7feac4000cbc5859,In stock,3,0,5
60,The Red Tent,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,historical fiction,35.66,3c456328b04a8ee8,In stock,3,0,5
61,The Last Painting of Sara de Vos,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,historical fiction,55.55,476c7972e9b41891,In stock,3,0,2
62,The Guernsey Literary and Potato Peel Pie Society,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,historical fiction,49.53,4a0a276409968a73,In stock,3,0,1
63,Girl in the Blue Coat,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,historical fiction,46.83,41fc5dce044f16f5,In stock,3,0,2
64,Between Shades of Gray,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,historical fiction,20.79,155e42df837ee5ff,In stock,3,0,5
65,While You Were Mine,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,historical fiction,41.32,8ceb5c6aed2c5f8b,In stock,1,0,5
66,The Secret Healer,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,historical fiction,34.56,38f776ab9118aed7,In stock,1,0,3
67,Starlark,https://books.toscrape.com/catalogue/starlark_56/index.html,historical fiction,25.83,e25164e5b3fe208b,In stock,1,0,3
68,Lost Among the Living,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,historical fiction,27.70,d510567580c8be52,In stock,1,0,4
69,A Spy's Devotion (The Regency Spies of London #1),https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,historical fiction,16.97,19fec36a1dfb4c16,In stock,1,0,5
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,sequential art,52.29,3b1c02bac2a429e6,In stock,19,0,5
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,sequential art,16.28,09555be379ad9253,In stock,16,0,1
72,This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,sequential art,19.49,51653ef291ab7ddc,In stock,16,0,4
73,The Nameless City (The Nameless City #1),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,sequential art,38.16,7d385d34d12e60ff,In stock,16,0,4
74,"Saga, Volume 5 (Saga (Collected Editions) #5)",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,sequential art,51.04,53a3d11bb568cc8b,In stock,16,0,2
75,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,sequential art,50.40,c82a3e358c773c73,In stock,16,0,3
76,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,sequential art,13.61,0fa6dceead7ce47a,In stock,16,0,5
77,"Pop Gun War, Volume 1: Gift",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,sequential art,18.97,e80f8e518b300dfe,In stock,16,0,1
78,Patience,https://books.toscrape.com/catalogue/patience_916/index.html,sequential art,10.16,9429b4d59c537af5,In stock,16,0,3
79,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,sequential art,15.44,889139b8e9c4cb36,In stock,16,0,4
80,orange: The Complete Collection 1 (orange: The Complete Collection #1),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,sequential art,48.41,11809b1d323b3057,In stock,16,0,1
81,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,sequential art,46.91,460089f796fb3f82,In stock,16,0,2
82,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,sequential art,45.61,b6ee99bcf06fc91f,In stock,16,0,3
83,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,sequential art,19.92,57e5a4d515c8ce44,In stock,16,0,2
84,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,sequential art,29.17,8d4eefad7a2b3915,In stock,16,0,2
85,I am a Hero Omnibus Volume 1,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,sequential art,54.63,1c89ae5bb804e4de,In stock,16,0,3
86,"Giant Days, Vol. 2 (Giant Days #5-8)",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,sequential art,22.11,f2df3bb043a8abb0,In stock,16,0,2
87,Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,sequential art,51.99,09b6cc87e62c2c58,In stock,16,0,4
88,"Codename Baboushka, Volume 1: The Conclave of Death",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,sequential art,36.72,8754c83ab2a7ae71,In stock,16,0,4
89,Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,sequential art,17.08,7b599c8bfcdd8d30,In stock,16,0,4
90,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,sequential art,37.92,bdf415fd484ea8a7,In stock,16,0,2
91,The Shadow Hero (The Shadow Hero),https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,sequential art,33.14,d6361d16212664ed,In stock,15,0,1
92,"Fables, Vol. 1: Legends in Exile (Fables #1)",https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,sequential art,41.62,65d034adf80834b7,In stock,15,0,4
93,Batman: The Long Halloween (Batman),https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html,sequential art,36.50,7edc0527cf782e19,In stock,15,0,2
94,Batman: The Dark Knight Returns (Batman),https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html,sequential art,15.38,47271d8e08b5d31c,In stock,15,0,5
95,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,sequential art,37.34,047097293bb4d1c0,In stock,14,0,4
96,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,sequential art,53.90,92275cedf6d8ee15,In stock,14,0,1
97,Through the Woods,https://books.toscrape.com/catalogue/through-the-woods_772/index.html,sequential art,25.38,6e44bcbeac7f4360,In stock,14,0,2
98,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,sequential art,11.89,ac8e3949d284e9a9,In stock,14,0,5
99,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,sequential art,35.43,394f6d30cafc3edb,In stock,14,0,4
100,Robin War,https://books.toscrape.com/catalogue/robin-war_730/index.html,sequential art,47.82,85b2176b3b194030,In stock,14,0,3
101,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,sequential art,25.48,31e2e2d9cca3778f,In stock,14,0,2
102,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,sequential art,38.39,71e36f33981ddb74,In stock,14,0,2
103,Lowriders to the Center of the Earth (Lowriders in Space #2),https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,sequential art,51.51,a10c7515834240f3,In stock,14,0,2
104,El Deafo,https://books.toscrape.com/catalogue/el-deafo_691/index.html,sequential art,57.62,27c5968fe43cc06e,In stock,14,0,5
105,Batman: Europa,https://books.toscrape.com/catalogue/batman-europa_668/index.html,sequential art,32.01,bf68dcb5fad3cc8c,In stock,14,0,2
106,Art Ops Vol. 1,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html,sequential art,48.80,ffdc825785c0ede8,In stock,14,0,3
107,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html,sequential art,10.90,5319169a72714c62,In stock,14,0,2
108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html,sequential art,33.95,97187f5cf0385da3,In stock,9,0,4
109,Roller Girl,https://books.toscrape.com/catalogue/roller-girl_540/index.html,sequential art,14.10,aeb51dfbe8aeec59,In stock,8,0,5
110,"Fruits Basket, Vol. 7 (Fruits Basket #7)",https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html,sequential art,19.57,de6d7645f192d517,In stock,7,0,1
111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html,sequential art,20.96,97258f576d4bb672,In stock,6,0,4
112,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html,sequential art,36.39,6e06d0f00f6da20f,In stock,6,0,3
113,"Fruits Basket, Vol. 5 (Fruits Basket #5)",https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html,sequential art,16.33,3fd83dcf37bf1bc0,In stock,5,0,1
114,"Death Note, Vol. 5: Whiteout (Death Note #5)",https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html,sequential art,52.41,1c0a38899c82b60a,In stock,5,0,1
115,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",https://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html,sequential art,27.88,df53c2948b32bde3,In stock,4,0,2
116,"Fruits Basket, Vol. 4 (Fruits Basket #4)",https://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html,sequential art,50.44,8fff1084aa085a13,In stock,4,0,4
117,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html,sequential art,14.41,a33ed2e6068df53e,In stock,3,0,3
118,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html,sequential art,55.55,91eb9605998a7c03,In stock,3,0,5
119,"Saga, Volume 3 (Saga (Collected Editions) #3)",https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html,sequential art,21.57,7b870bf85d01c2dc,In stock,3,0,5
120,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html,sequential art,43.63,9707989a439757b4,In stock,3,0,3
121,Persepolis: The Story of a Childhood (Persepolis #1-2),https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html,sequential art,39.13,cb62418129b864a3,In stock,3,0,1
122,Original Fake,https://books.toscrape.com/catalogue/original-fake_203/index.html,sequential art,31.45,c59283b05905c853,In stock,3,0,3
123,"Grayson, Vol 3: Nemesis (Grayson #3)",https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html,sequential art,42.72,4f6985aca357ae09,In stock,3,0,1
124,"Fruits Basket, Vol. 3 (Fruits Basket #3)",https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html,sequential art,45.17,d5f5a122a593b580,In stock,3,0,2
125,"Black Butler, Vol. 1 (Black Butler #1)",https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html,sequential art,49.31,15f415d436888b2d,In stock,3,0,1
126,Awkward,https://books.toscrape.com/catalogue/awkward_124/index.html,sequential art,38.02,1d89a2aa9f6ce50f,In stock,3,0,2
127,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",https://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html,sequential art,54.81,276dc716b1da8899,In stock,2,0,1
128,"Saga, Volume 2 (Saga (Collected Editions) #2)",https://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html,sequential art,11.75,9189fd009df41d0e,In stock,2,0,3
129,"Fruits Basket, Vol. 2 (Fruits Basket #2)",https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html,sequential art,11.64,c0db71f6bb14db11,In stock,2,0,5
130,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",https://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html,sequential art,18.51,09d26b5f819c6a36,In stock,1,0,4
131,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html,sequential art,36.52,dac9d1e654fac737,In stock,1,0,2
132,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html,sequential art,54.12,5faefdc861684eb1,In stock,1,0,3
133,The Complete Maus (Maus #1-2),https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html,sequential art,10.64,3301af038a720587,In stock,1,0,3
134,"Skip Beat!, Vol. 01 (Skip Beat! #1)",https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html,sequential art,42.12,2ac720f76384c57e,In stock,1,0,3
135,"Saga, Volume 1 (Saga (Collected Editions) #1)",https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html,sequential art,28.48,4f64568dfefa3ce7,In stock,1,0,1
136,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",https://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,sequential art,46.96,3cdca3b4a93980f5,In stock,1,0,5
137,"Paper Girls, Vol. 1 (Paper Girls #1-5)",https://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html,sequential art,21.71,bcbcbcf0f6ed196f,In stock,1,0,4
138,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",https://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,sequential art,29.87,326825e02a198cf6,In stock,1,0,3
139,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",https://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html,sequential art,39.39,35a60467893aa168,In stock,1,0,4
140,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",https://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html,sequential art,45.24,6fe02600f322a0a9,In stock,1,0,3
141,"Giant Days, Vol. 1 (Giant Days #1-4)",https://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html,sequential art,56.76,eb0fe24bbc845ecc,In stock,1,0,4
142,"Fruits Basket, Vol. 1 (Fruits Basket #1)",https://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html,sequential art,40.28,72e6fbf4f6382557,In stock,1,0,5
143,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",https://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html,sequential art,34.65,099fae4a0705d63b,In stock,1,0,5
144,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",https://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html,sequential art,57.06,bfd5e1701c862ac3,In stock,1,0,4
